C201,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VEHICLE,,,,,,,,,,,,,,
NUMBER,CAPACITY,,,,,,,,,,,,,
25,700,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CUSTOMER,,,,,,,,,,,,,,
CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME,PRIORITY,SKILL REQUIREMENT,DAY REQUIREMENT,1,2,3,4,5
10,40,50,0,0,540,0,0,0,0,0,0,0,0,0
20,52,75,10,311,471,90,1,3,4,1,1,1,1,0
30,45,70,30,213,373,90,2,4,1,0,0,0,0,1
40,62,69,10,87,247,90,3,4,4,1,0,1,1,1
50,60,66,10,181,341,90,4,3,3,1,0,1,1,0
60,42,65,10,25,185,90,5,3,5,1,1,1,1,1
70,16,42,20,380,540,90,6,2,1,0,0,1,0,0
80,58,70,20,380,540,90,7,2,4,1,1,0,1,1
90,34,60,20,187,347,90,8,3,1,0,0,1,0,0
100,28,70,10,380,540,90,9,1,3,1,1,1,0,0
110,35,66,10,91,251,90,10,3,4,0,1,1,1,1
120,35,69,10,380,540,90,11,4,2,0,1,0,0,1
130,25,85,20,380,540,90,12,2,2,1,0,1,0,0
140,22,75,30,245,405,90,13,1,1,1,0,0,0,0
150,22,85,10,380,540,90,14,4,1,0,1,0,0,0
160,20,80,40,56,216,90,15,3,4,1,0,1,1,1
170,20,85,40,314,474,90,16,2,2,0,1,0,0,1
180,18,75,20,151,311,90,17,3,3,0,1,1,0,1
190,15,75,20,122,282,90,18,2,4,1,1,0,1,1
200,15,80,10,217,377,90,19,3,5,1,1,1,1,1
210,30,50,10,10,170,90,20,4,1,1,0,0,0,0
220,30,56,20,283,443,90,21,1,5,1,1,1,1,1
230,28,52,20,22,182,90,22,4,1,1,0,0,0,0
240,14,66,10,23,183,90,23,1,3,1,1,0,0,1
250,25,50,10,116,276,90,24,2,3,0,0,1,1,1
260,22,66,40,344,504,90,25,4,2,1,0,1,0,0
